job_position_name,educationaL_requirements,skills_required,matched_score,skills_count,educational_institution_name_count,degree_names_count,passing_years_count,educational_results_count,result_types_count,major_field_of_studies_count,professional_company_names_count,start_dates_count,end_dates_count,related_skils_in_job_count,positions_count,locations_count,extra_curricular_activity_types_count,extra_curricular_organization_names_count,role_positions_count,languages_count,proficiency_levels_count,certification_providers_count,certification_skills_count,issue_dates_count,expiry_dates_count,required_exp_years,min_age_required
Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,unknown,85.0,21,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,unknown,75.0,10,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),"Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",41.6666667,14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",76.00000000000001,36,1,1,1,0,0,1,6,6,5,6,6,6,0,0,0,0,0,0,0,0,0,1,22
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",65.0,32,1,1,0,1,0,1,5,5,5,5,5,5,4,4,0,0,0,1,0,0,1,4,0
AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",85.0,17,2,2,0,0,0,2,3,3,3,3,3,3,0,0,0,0,0,1,0,1,0,0,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",65.0,6,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0
Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,"iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",65.0,52,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,1,1,1,0,0,0,4,0
Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical","Maintenance  and Troubleshooting
Mechanical",55.00000000000001,18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,25
Business Development Executive,Bachelor/Honors,"Fast typing skill
IELTSInternet browsing & online work ability.",38.3333333,17,2,2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,22
